22,0
22,3
22,4
22,6
22,12
22,41
22,44
22,49
21,0
21,1
21,2
21,27
21,41
21,45
21,49
21,53
21,55
20,0
20,1
20,2
20,27
20,41
20,45
20,49
19,0
19,1
19,5
19,6
19,41
19,45
19,46
19,49
18,5
18,10
18,34
18,38
18,41
18,45
17,5
17,10
17,34
17,38
17,41
17,45
16,0
16,1
16,7
16,11
16,12
16,15
16,31
16,41
16,46
15,13
15,14
15,18
15,34
15,41
15,45
15,51
14,0
14,1
14,5
14,7
14,34
14,41
14,45
14,56
13,9
13,13
13,14
13,15
13,18
13,37
13,41
13,46
12,14
12,15
12,20
12,21
12,23
12,42
12,45
12,52
11,10
11,34
11,41
11,45
10,5
10,18
10,34
10,38
10,41
10,45
9,5
9,10
9,17
9,18
9,38
9,41
9,45
8,7
8,9
8,14
8,15
8,24
8,41
8,46
8,47
8,49
7,0
7,1
7,2
7,3
7,4
7,30
7,41
7,45
6,9
6,11
6,15
6,41
6,46
6,47
5,0
5,18
5,41
5,45
4,0
4,5
4,10
4,15
4,34
4,41
4,45
3,18
3,34
3,41
3,44
2,0
2,34
2,41
2,46
1,0
1,5
1,34
1,41
1,45
0,0
0,7
0,34
0,41
0,46
23,0
23,1
23,34
23,40
23,41
23,45
23,53
23,54
23,56
24,2
24,3
24,4
24,12
24,18
24,37
24,42
24,45
24,51
24,53
24,54
25,0
25,1
25,3
25,6
25,12
25,34
25,37
25,41
25,45
25,51
25,53
25,54
26,5
26,14
26,34
26,38
26,41
26,45
26,51
26,53
26,54
27,14
27,15
27,20
27,35
27,41
27,45
27,47
28,3
28,4
28,34
28,41
28,45
28,50
